DateTime,AddedIPs,RemovedIPs
1568940486,31,38
1569026409,24,30
1569115689,32,40
1569201130,27,35
1569288011,23,29
1569374410,32,28
1569460335,34,31
1569545531,30,29
1569631455,38,32
1569720966,40,32
1569805931,31,29
1569891130,35,0
1569976812,35,32
1570066568,39,78
1570152248,38,40
1570237692,40,0
1570322773,37,39
1570412183,40,88
1570497871,42,36
1570583772,42,38
1570669693,40,0
1570755131,39,37
1570843933,40,72
1570929670,38,42
1571015056,31,42
1571100735,28,0
1571190490,31,73
1571275931,30,39
1571361633,36,0
1571446570,31,28
1571535850,22,57
1571621532,30,21
1571707449,27,0
1571793848,24,63
1571878832,34,0
1571968091,30,54
1572054251,36,34
1572139938,28,32
1572226815,35,32
1572313936,44,40
1572398899,38,30
1572484098,40,40
1572570008,37,35
1572659530,38,41
1572744731,33,36
1572830420,35,40
1572917769,37,42
1573003450,28,0
1573088657,30,40
1573177208,36,83
1573262893,36,39
1573349054,36,40
1573434255,30,0
1573523304,42,75
1573608980,33,25
1573693692,38,25
1573783467,39,30
1573868407,37,32
1573953851,37,30
1574039291,39,31
1574128810,34,28
1574214011,34,33
1574299215,35,0
1574388019,41,61
1574473933,37,33
1574558888,30,0
1574647692,32,61
1574733847,33,29
1574819289,34,33
1574904966,33,0
1574990684,25,38
1575076818,22,86
1575165847,32,29
1575251769,31,34
1575337455,34,35
1575423611,27,38
1575509534,28,0
1575594971,34,40
1575683530,30,57
1575769688,24,37
1575855139,31,37
1575940572,40,0
1576027213,28,76
1576115769,29,34
1576201217,25,34
1576286647,36,39
1576376167,26,36
1576461126,28,34
1576547047,39,38
1576632246,35,37
1576720817,42,39
1576806251,40,40
1576892406,39,34
1576981446,32,42
1577066647,29,30
1577151367,22,24
1577240653,25,33
1577325851,29,29
1577410568,28,0
1577499849,29,60
1577585293,34,24
1577671452,32,27
1577756407,31,0
1577845688,32,60
1577931369,28,30
1578016328,32,29
1578102007,29,27
1578191538,27,36
1578276485,34,31
1578361697,27,23
1578447127,33,0
1578536165,29,65
1578621372,32,27
1578706805,25,0
1578795848,37,58
1578882008,35,37
1578968167,27,26
1579053611,28,33
1579139292,41,38
1579225448,31,37
1579314966,42,38
1579399925,35,36
1579484648,40,37
1579573687,34,31
1579658169,39,0
1579746729,37,52
1579831689,38,0
1579920007,44,59
1580004970,34,33
1580089686,42,0
1580178248,33,59
1580263212,33,0
1580352004,38,65
1580436729,35,0
1580525288,39,58
1580610486,27,30
1580695211,33,34
1580784016,27,29
1580868732,34,36
1580957548,29,27
1581042246,22,28
1581126968,30,0
1581215287,21,53
1581300008,35,28
1581389051,18,38
1581474010,33,37
1581562810,26,26
1581648005,23,35
1581732966,32,36
1581821525,37,26
1581906728,36,0
1581991449,20,39
1582080248,26,61
1582165448,34,0
1582254014,30,63
1582338966,28,34
1582423931,27,38
1582512251,27,40
1582596968,24,0
1582685526,26,72
1582770486,37,37
1582855215,34,33
1582944007,31,35
1583028970,37,40
1583117527,31,32
1583202247,37,0
1583290809,32,56
1583375532,28,0
1583460490,36,36
1583549051,33,37
1583633768,28,39
1583722087,33,49
1583807052,33,0
1583895366,29,57
1583979848,35,0
1584068168,30,48
1584152886,24,0
1584241453,31,47
1584326170,36,36
1584411849,35,0
1584500422,30,66
1584584887,35,23
1584673691,29,17
1584758172,26,29
1584843131,17,0
1584931450,32,55
1585016170,27,30
1585104492,28,32
1585189449,28,23
1585278011,37,27
1585362487,34,32
1585451294,32,30
1585536006,36,0
1585620970,28,25
1585709533,22,66
1585794490,33,38
1585883292,28,30
1585967766,31,31
1586052727,27,35
1586141770,37,32
1586226731,24,37
1586315289,27,33
1586399769,28,33
1586488326,25,26
1586573287,27,32
1586658007,28,0
1586746331,21,66
1586831290,26,0
1586920090,32,67
1587005053,23,35
1587089767,29,0
1587178330,22,70
1587262807,31,0
1587351129,22,59
1587437529,25,27
1587522732,22,0
1587611789,26,67
1587694567,25,0
1587783132,22,65
1587867611,20,0
1587956168,24,73
1588040887,28,0
1588129691,31,77
1588214407,24,31
1588299131,26,0
1588387686,20,73
1588472410,28,0
1588560968,27,64
1588646171,20,37
1588731126,21,0
1588819685,24,52
1588904650,23,0
1588993211,25,42
1589077694,23,0
1589166005,21,49
1589250488,18,25
1589338807,20,28
1589423767,26,20
1589508970,35,0
1589597530,42,41
1589683929,45,28
1589769128,39,0
1589858167,39,50
1589942887,36,0
1590027607,42,22
1590116651,40,47
1590201607,44,0
1590290171,35,50
1590375135,32,28
1590460330,34,23
1590548890,35,22
1590633856,40,33
1590719053,34,0
1590807610,36,53
1590892567,35,24
1590981368,44,19
1591066330,35,30
1591150808,33,0
1591239848,39,48
1591324566,34,26
1591413126,39,28
1591497849,33,21
1591582811,31,0
1591671611,30,47
1591756331,36,0
1591845366,28,53
1591930087,27,0
1592015286,25,35
1592103608,32,75
1592188567,29,0
1592277126,27,65
1592361611,31,36
1592450648,35,40
1592535367,35,29
1592620093,35,38
1592708892,24,33
1592793368,29,0
1592882407,22,62
1592967130,31,0
1593052087,25,32
1593140407,23,27
1593225127,28,30
1593313449,18,69
1593398168,20,0
1593486967,36,74
1593571698,18,0
1593656887,20,41
1593745207,26,64
1593829686,31,0
1593918489,27,72
1594002969,27,0
1594092005,24,71
1594176966,23,33
1594261685,17,0
1594350491,23,63
1594435207,24,0
1594523525,23,71
1594607766,20,34
1594696089,23,38
1594781526,17,37
1594867212,18,0
1594956256,23,68
1595040967,18,0
1595129285,20,74
1595214490,23,22
1595299206,30,0
1595387766,16,46
1595472730,21,0
1595561526,26,62
1595646491,24,25
1595731212,24,0
1595820248,22,43
1595905210,26,0
1595990167,16,19
1596078489,22,18
1596162969,22,25
1596251767,32,51
1596336726,19,0
1596425524,30,48
1596510247,27,0
1596594966,26,23
1596683765,25,24
1596768248,26,21
1596856805,24,39
1596941525,25,0
1597029847,26,54
1597114565,20,0
1597203130,22,40
1597287846,23,0
1597372567,21,26
1597460888,36,40
1597545610,36,0
1597633205,35,43
1597721528,30,21
1597806246,38,0
1597894568,36,44
1597981207,36,20
1598065925,40,26
1598150887,38,0
1598239449,33,50
1598324649,39,26
1598413209,39,26
1598499378,37,28
1598583847,32,24
1598670732,32,18
1598755205,30,20
1598843765,30,0
1598928725,31,30
1599017527,33,52
1599102725,34,29
1599187449,29,21
1599276488,35,19
1599360966,28,22
1599450009,33,27
1599534491,36,27
1599623290,32,26
1599708007,32,23
1599792488,35,0
1599881049,30,57
1599966016,30,39
1600055050,34,35
1600140008,34,27
1600224967,30,0
1600313528,29,33
1600398491,28,63
1600487286,36,30
1600572255,39,0
1600656977,38,34
1600746248,28,66
1600830965,34,0
1600919289,29,58
1601004487,31,0
1601089211,35,37
1601178487,31,63
1601307131,36,29
1601349854,36,29
1601434806,34,0
1601524571,34,63
1601609285,31,0
1601694253,29,32
1601782809,31,67
1601867289,38,0
1601956090,37,71
1602040566,37,0
1602129127,33,76
1602213851,34,0
1602302417,31,69
1602386885,37,44
1602473766,37,35
1602558492,32,36
1602646808,31,0
1602732106,35,77
1602820329,36,38
1602905051,29,0
1602993607,35,76
1603078084,30,0
1603166647,40,77
1603251370,30,34
1603336090,31,0
1603424647,34,64
1603509848,33,0
1603598165,40,65
1603682886,33,37
1603771451,33,37
1603855925,41,0
1603944485,36,67
1604028966,33,36
1604113687,31,0
1604202006,33,65
1604286487,32,27
1604376725,29,29
1604461211,46,41
1604545686,38,0
1604634006,35,63
1604722327,39,32
1604806807,37,35
1604891525,40,0
1604979847,43,68
1605066248,38,32
1605150726,37,30
1605239048,38,32
1605323765,37,0
1605412084,35,37
1605498486,30,67
1605583446,36,0
1605671765,33,65
1605756249,35,0
1605844810,34,70
1605929285,25,32
1606017615,23,34
1606102324,27,35
1606190886,24,38
1606275606,19,34
1606363937,24,32
1606448405,41,39
1606536728,36,37
1606621208,43,34
1606705926,39,35
1606794252,42,37
1606879206,38,36
1606967525,34,0
1607052003,37,31
1607140565,39,87
1607225050,40,0
1607313365,40,32
1607397848,35,36
1607486164,30,76
1607571131,36,0
1607659447,41,65
1607743685,42,33
1607832486,35,36
1607917209,27,25
1608006005,36,33
1608090725,30,27
1608175450,35,27
1608263767,35,27
1608348967,36,36
1608437288,36,30
1608522253,32,23
1608610566,27,22
1608695288,28,32
1608783606,30,31
1608868087,28,33
1608952806,36,0
1609041130,26,80
1609129450,34,37
1609214416,31,40
1609299128,34,37
1609387929,34,40
1609472886,29,38
1609561206,37,26
1609645928,35,33
1609734494,38,38
1609819227,30,41
1609903929,28,0
1609992486,28,84
1610077449,31,0
1610166007,31,63
1610250729,30,0
1610339290,32,80
1610423767,30,0
1610512090,28,69
1610596568,33,0
1610681528,29,36
1610769848,24,74
1610854571,26,0
1610943126,26,74
1611027852,25,0
1611116405,27,74
1611201127,28,0
1611289692,24,60
1611374654,26,0
1611459610,27,35
1611548406,28,74
1611633125,25,0
1611721689,29,75
1611806165,26,0
1611893047,24,76
1611978007,27,0
1612067290,24,38
